date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-03-03,0.2224671280574401,480.90896983131455,204.9753939382817,0.0,-16.47193738071627,1.0488907828182004,0.0
1993-03-04,0.2170490941324093,480.90896983131455,204.9753939382817,0.0,-22.69561208439396,0.0,0.0
1993-03-05,0.2090075785645283,480.90896983131455,204.9753939382817,0.0,-17.64042667600677,0.0,0.0
1993-03-06,0.2012608820637786,480.90896983131455,204.9753939382817,0.0,-13.490169127558945,0.0,0.0
1993-03-07,0.1938013105902021,480.90896983131455,204.9753939382817,0.0,-12.52068501031806,0.0,0.0
1993-03-08,0.1866182220873787,480.90896983131455,204.9753939382817,0.0,-9.105668241971443,0.0,0.0
1993-03-09,0.1797013689380844,480.90896983131455,206.3503284382866,0.0,-6.1503504456337055,2.0067100840843746,0.0
1993-03-10,0.1730408833447221,480.90896983131455,208.4822811808317,0.0,-10.718329029785366,3.111574454813301,0.0
1993-03-11,0.1666272632516147,480.90896983131455,208.6596217900241,0.0,-12.770247504660915,0.2588277396361879,0.0
1993-03-12,0.1604513587890774,480.90896983131455,208.6596217900241,0.0,-14.870344720317576,0.0,0.0
1993-03-13,0.1545043592199296,480.90896983131455,208.6596217900241,0.0,-16.8789759013805,0.0,0.0
1993-03-14,0.1487777803698231,480.90896983131455,209.37314332244227,0.0,-13.885493882228443,1.04138113801764,0.0
1993-03-15,0.1432634525234556,480.90896983131455,217.46103708067548,0.0,-10.674624194203773,11.80424083008479,0.0
1993-03-16,0.1379535087694011,480.90896983131455,221.04267433688855,0.0,-9.042255175053583,5.22738181313342,0.0
1993-03-17,0.1328403737769295,480.90896983131455,221.04267433688855,0.0,-10.69132831142872,0.0,0.0
1993-03-18,0.1279167529888043,480.90896983131455,221.04267433688855,0.0,-10.288160008947784,0.0,0.0
1993-03-19,0.123175622214641,480.90896983131455,221.04267433688855,0.0,-10.160760342958554,0.0,0.0
1993-03-20,0.1186102176099787,480.90896983131455,221.04267433688855,0.0,-7.787309264671535,0.0,0.0
1993-03-21,0.1142140260267692,480.90896983131455,221.04267433688855,0.0,-7.897779682178623,0.0,0.0
1993-03-22,0.109980775721518,480.90896983131455,221.0847052940255,0.0,-7.0692563713608365,0.0613439734984239,0.0
1993-03-23,0.10590442740782,480.90896983131455,221.0847052940255,0.0,-8.902868479189351,0.0,0.0
1993-03-24,0.1019791656405259,480.90896983131455,227.73803826129657,0.0,-7.815590937570903,9.710506470051229,0.0
1993-03-25,0.0981993905192475,480.90896983131455,232.20811353895715,0.0,-15.814224891345532,6.524052699431048,0.0
1993-03-26,0.0945597096993659,480.90896983131455,236.60252218209808,0.0,-14.50842223597715,6.413617621601002,0.0
1993-03-27,0.091054930699145,480.90896983131455,236.60252218209808,0.0,-18.693415799430795,0.0,0.0
1993-03-28,0.0876800534919757,480.90896983131455,236.60252218209808,0.0,-18.477059858672988,0.0,0.0
1993-03-29,0.0844302633731828,480.90896983131455,236.60252218209808,0.0,-14.454656379544986,0.0,0.0
1993-03-30,0.0813009240912176,480.90896983131455,236.60252218209808,0.0,-7.940651825268446,0.0,0.0
1993-03-31,0.0782875712334374,480.829171516705,237.1400442298564,0.0,-3.834459707404165,0.7845107629857684,0.1218144284109129
1993-04-01,0.0753859058570356,480.78263071161416,237.1400442298564,0.0,-4.328572577776072,0.0,0.0710576718377068
1993-04-02,0.0725917883560368,480.4883318157586,241.1032488636993,0.0,-0.8059425969373137,5.7842775084882,0.4493738058258381
1993-04-03,0.0699012325556056,480.2937571330468,242.5524262532552,0.0,-2.258960664146855,2.1150672131935817,0.2972838902926817
